company;Contacté;Notes;website_url;activity_sector;attributed_sale;status
asten santé;Non;;https://www.astensante.com/;Other;;
arteris;Non;;https://www.arteris.com/;Other;;
armonis;Non;;https://www.armonis.fr/;Formation/Education;;
armand thiery;Non;;https://www.armandthiery.fr/;Other;;
arkeup;Non;;https://www.arkeup.com/;Other;;
arcoa;Non;;http://www.atelier-arcoa.com/;Other;;
eden park;Non;;https://www.eden-park.com/;Other;;
eiffage route;Non;;https://www.eiffageroute.com/;Other;;
lazard;Non;;https://www.lazard.com/;Other;;
idf - keolis roissy pays de france ouest;Non;;https://me-deplacer.iledefrance-mobilites.fr/fiches-horaires/bus/pas-de-resultat?line&transporter=network%3AIDFM%3A1071%7CRoissy+Ouest;Other;;
intertrad;Non;;https://intertrad.fr/;Other;;
inter service esthetique;Non;;https://inter-service-esthetique.fr/;Other;;
institut de management d'aubervilliers;Non;;https://ima-school.com/;Formation/Education;;
inserm;Non;;https://www.inserm.fr/;Other;;
ins;Non;;https://gnius.esante.gouv.fr/fr/reglementation/fiches-reglementation/lidentite-nationale-de-sante-ins;Other;;
inria;Non;;https://www.inria.fr/fr;Other;;
inmemori;Non;;https://fr.inmemori.com/;Other;;
impactup cabinet conseil.;Non;;https://www.impactup.com/;Recruitment;;
impact sales & marketing;Non;;https://agence-impact.com/fr/;Other;;
impact recrutement;Non;;https://www.impactrecrutement.fr/;Recruitment;;
ifeth formation;Non;;https://www.ifeth.com/;Other;;
ifae accueil;Non;;https://www.ifae.fr/formations/accueil/;Formation/Education;;
idf - keolis argenteuil boucles de seine;Non;;https://www.iledefrance-mobilites.fr/actualites/locales/argenteuil-boucles-de-seine;Other;;
hachette livre;Non;;https://www.hachette.com/;Other;;
hyatt paris madeleine;Non;;https://www.hyatt.com/fr-FR/hotel/france/hyatt-paris-madeleine/madel;Other;;
hub one;Non;;https://www.hubone.fr/;Other;;
hospitality on;Non;;https://hospitality-on.com/fr;Other;;
hexagon;Non;;https://hexagon.com/fr/;Other;;
henley it;Non;;https://www.henley.fr/;Other;;
hello syndic;Non;;https://www.hello-syndic.fr/;Other;;
heineken entreprise;Non;;https://www.heinekenfrance.fr/;Other;;
hard rock international (usa), inc.;Non;;https://www.hardrock.com/;Other;;
haier;Non;;https://www.haier-europe.com/fr_FR/;Other;;
invivo;Non;;https://www.invivo-group.com/fr;Other;;
iscod alternance;Non;;https://www.iscod.fr/;Formation/Education;;
iserba;Non;;https://www.iserba.fr/;Other;;
itss;Non;;https://www2.gnb.ca/content/gnb/fr/ministeres/bmhc/maladies_transmissibles/content/maladies_et_infections_transmises_sexuellement_et_par_le_sang.html#:~:text=Une%20infection%20transmissible%20sexuellement%20(ITS,incluant%20les%20rapports%20sexuels%20oraux.;Other;;
latham & watkins llp;Non;;https://www.lw.com/;Other;;
lagardere;Non;;https://www.lagardere.com/;Other;;
la poste groupe;Non;;https://www.lapostegroupe.com/fr;Other;;Contacté
la maison du chocolat;Non;;https://www.lamaisonduchocolat.com/fr_fr;Other;;
la famille - finest lunch;Non;;https://www.lf.fr/;Other;;
la banque postale;Non;;https://www.labanquepostale.fr/;Other;;
l'atelier des chefs;Non;;https://www.atelierdeschefs.fr/;Formation/Education;;
kyowa kirin international;Non;;https://international.kyowa-kirin.com/;Recruitment;;
ks services;Non;;https://www.ks-services.com/;Recruitment;;
kpmg;Non;;https://kpmg.com/fr/fr/home.html;Other;;
klb group;Non;;https://www.klbgroup.com/;Other;;
khea concept;Non;;https://www.khea-concept.com/;Recruitment;;
kelly tertiaire;Non;;https://www.kellyservices.fr/secteurs/tertiaire;Recruitment;;
kedge business school;Non;;https://kedge.edu/;Formation/Education;;
kedge bs;Non;;https://kedge.edu/;Formation/Education;;
kaliti;Non;;https://www.kaliti.fr/;Other;;
kado events;Non;;https://www.kadoevents.com/;Other;;
jungheinrich france s.a.s.;Non;;https://www.jungheinrich.fr/;Other;;
jd sports;Non;;https://www.jdsports.fr/;Other;;
jahia;Non;;https://www.jahia.com/fr;Other;;
iéseg school of management;Non;;https://www.ieseg.fr/;Formation/Education;;
iziwork;Non;;https://iziwork.com/fr;Recruitment;;
